creature_id	section	text
grim_gigas_skald	ranger	* Spike Thorn is an excellent option, but if the ranger is relatively untrained to make use of it because he has few ranks of Ranger Base and/or Summoning lore, or simply if mana needs to be conserved, then animal companions can also do significant damage to or even kill skalds affected by Wild Entropy (603) or Moonbeam (611).
grimswarm_orc_archer	general	Ranged attacker (bow). Observed arrow AS 267 at an unknown camp level.
grimswarm_orc_hunter	general	Observed with ball and chain (AS 256, n=8) and casting (CS 198), camp level unknown.
grimswarm_orc_pillager	general	Observed with longsword (AS 197), camp level unknown.
grimswarm_orc_ranger	general	Observed with trident (AS 269-350) and casting spiritual-circle spells (CS 213), camp level unknown.
grimswarm_orc_skirmisher	general	Observed with handaxe (AS 87), camp level unknown.
grimswarm_orc_sorceress	general	Caster. Observed warding CS 424, camp level unknown.
grimswarm_troll_ranger	general	Observed with crossbow and dagger, and casting spiritual-circle spells (CS 234), camp level unknown.
grimswarm_troll_scourge	general	Observed with dagger (AS 228), camp level unknown.
grimswarm_troll_skirmisher	general	Observed with heavy crossbow (AS 474, n=6), camp level unknown.
grimswarm_troll_soldier	general	Observed with two-handed sword (AS 456, n=6), camp level unknown.
niveous_giant_warg	general	* By design, wargs grow significantly and synergistically more dangerous as more of them come into the same room since the presence of others from their pack bolsters one another's attacks. As such, even though an individual warg might not be threatening, treating them as high priority targets is often a safer option than most other creatures in their areas.
quivering_sanguine_ooze	general	* Oozes are essentially noncorporeal, uncrittable, unstunnable damage sponges that often divide themselves into oozelings upon getting hit, where each oozeling has a fraction of the original ooze's health but otherwise has similar combat abilities and stats on all fronts. If left unchecked long enough, the oozelings' health will grow. Since oozes reduce their own health by splitting and since they split when they're attacked, using even weak AoE attacks can clear rooms more quickly than using powerful single-target attacks. Clash, Cyclone, Divine Incarnation (1650) Onslaught, Divine Wrath (335), Judgment (1630), Nature's Fury (635), Pulverize, Song of Sonic Disruption (1030), Volley (with a short bow or hand crossbow only to keep RT manageable), Whirling Blade, and Whirlwind are all good. In particular, Divine Wrath, Song of Sonic Disruption, and Volley stand out due to respectively multiple rounds of damage, low mana cost (upon renewal), and low stamina cost mixed with multiple rounds of damage. All three of those options can lead to rooms going from one ooze to ten in no time, then down to zero also in no time, as oozes divide constantly.\n* If absorbed by an ooze, an adventurer can attack its organ until it spits them out.\n** Military pick worked, dagger & spear did not.\n* Culling bounties for oozes go quickly since oozelings count.
quivering_sanguine_oozeling	general	* Splits off a quivering sanguine ooze when the ooze is hit; oozelings start with a fraction of the ooze's health and grow back into oozes if left alone. See the quivering sanguine ooze entry for AoE tactics.
shining_winged_disir	general	* Undead for Voln purposes (sheer fear names the disir as the source). GM lore: the disir in the Pits are hyper-aggressive because of a lingering dark influence down there that predates Zeban; they are valkyries attending the unquiet dead, and Voln gives credit because it only cares that undead be put down.
shining_winged_disir	cleric	* Disirs behave somewhat unpredictably under the effects of Prayer of Holding (301), as sometimes it'll keep them bound while other times they'll shake it off immediately and counterattack in a single combat round. The fact that it even sometimes holds them makes it viable as a setup leading into Condemn (309), though, as it just means binding them repeatedly until it sticks.
shining_winged_disir	paladin	* Disirs move fairly quickly in combat, so, in this case, casting Aura of the Arkati (1614) the hard way and then attacking with a beseeched Repentance (1615) is far more reliable than the other way around. Opening with Repentance might allow the disir to get up by the time the paladin's out of cast RT and on to her physical attack, but opening with the Aura of the Arkati debuff will leave that lasting long enough to carry through to the followup.
shining_winged_disir	ranger	* Moonbeam (611) is a near universal solution in the Hinterwilds and disirs are no exception. However, they can occasionally get out of even that, so tread carefully. A followup Spike Thorn (616) against a bound disir will often miss the kill even with heavy training in Ranger Base and Summoning lore, which is more than most Hinterwilds creatures can say, but repeated casts will still win the day.
shining_winged_disir	bard	* Vibration Chant (1002) can eliminate their "spears" (which hit like lances). Disirs then switch to a magical, non-physical shield which can't be blown up, but many will find that preferable to letting them swing lances with 650 AS.
soldier_ant	general	Not in the Bestiary. Uncommon; shares the Wehnimer's Landing ant nest with giant ants (mongen profile 1194, rooms u47001-u47033).
soldier_ant	general	Cannot be skinned. Treasure unconfirmed - possibly ant larva, as giant ants drop.
spectre	general	Also encountered as an unarmed ("monk") variant at Plains of Bone, using natural attacks instead of weapons.
squamous_reptilian_mutant	general	* As primarily casting creatures, mutants are fairly vulnerable to SMR-based spells and attacks like Condemn (309), Earthen Fury (917), Hamstring, Spike Thorn (616), Twin Hammerfists, and so on. This is offset somewhat by their high level, though.\n* Mutants have exceptionally high CS--over 520--that leaves their Thought Lash (1210), Bind (214), and Vertigo (1219) spells nearly guaranteed to hit against every profession and leave characters stunned or disabled. Keep them from casting by any means including Sweep, Feint, Corrupt Essence (703), Moonbeam (611), Condemn, Earthen Fury, or other options that keep them stalled out, unable to cast, or repeatedly stunned.\n* Mutants have Brace (1214), which can disarm against many forms of physical attacks. However, many combat maneuvers and SMR-based weapon techniques bypass this, as do ranged attacks and unarmed combat. Brace can also be removed via dispelling magic such as Spirit Dispel (119), Spiritual Abolition (230), Elemental Dispel (417), Mental Dispel (1218), and Song of Unravelling (1013) or other similar effects like Spell Cleave.
squamous_reptilian_mutant	miscellany	* Symbol of Transcendence can sometimes salvage a bad situation, either preemptively or used with its emergency cooldown. High CS aside, mutants are still mostly casting disablers or attacking with one of the weaker weapon bases, the cudgel, so it's possible to survive even ten rounds of stun with enough luck.\n* Symbol of Restoration can be used while Immobilized by Bind.
squamous_reptilian_mutant	cleric	* The INFUSE SPIRIT option of Soul Ward (319) can sometimes delay mutants long enough to keep a cleric alive through lengthy stun.
squamous_reptilian_mutant	paladin	* Divine Incarnation (1650) Smite with enough Religion lore to reliably hit twice will usually do substantial damage to mutants, if not outright kill them, while divine energy lasts.\n* Be ready to beseech Divine Intervention (1635) at a moment's notice to get away safely after being hit by any of a mutant's dangerous spells.
squamous_reptilian_mutant	ranger	* With enough Ranger Base ranks, Moonbeam is a nearly universal solution in the Hinterwilds and mutants are no exception.
squamous_reptilian_mutant	bard	* Vibration Chant (1002) can destroy their weapons and has at least a chance to kill outright.\n* Be ready to shout Troubadour's Rally (1040) at a moment's notice to get away safely after being hit by any of a mutant's dangerous spells.
squamous_reptilian_mutant	empath	* The REGENERATE option of Regeneration (1150) can sometimes keep an empath healed and padded to survive lengthy stun a limited number of times per day, depending on Transformation lore.
stunted_halfling_bloodspeaker	general	* Warding casters will have more success against this creature with a high TD if they cast dispelling magic upon it first.\n* SMR-based attacks like Condemn (309), Earthen Fury (917), and Spike Thorn (616) frequently tear through bloodspeakers. Animal companions can also do significant damage.\n* Silencing tactics like Cutthroat and Sucker Punch, or the similar Corrupt Essence (703), will halt their threatening Wither (1115) spell. (Silence (210) itself is unlikely to hit barring an unusual build heavily focused on Major Spiritual ranks.)
tattooed_gigas_berserker	general	* Berserkers are square creatures in fairly light armor, so players of semis and pures can take advantage of low TD and CvA by casting CS-based offensive spells.
tattooed_gigas_berserker	bard	* By destroying berserkers' weapons, Vibration Chant (1002) stops many of the most threatening things they can do and sometimes kills them outright.
tattooed_gigas_berserker	wizard	* Berserkers can be targeted with Mana Leech (516).
withered_shadow-cloaked_draugr	general	* Taking out a draugr's greatsword and leaving them swinging a closed fist is as close to taking out the draugr as can be short of actually killing it, so Disarm Weapon, Vibration Chant (1002), or even Limb Disruption (708) work great here. DoT spells like Condemn (309) and Earthen Fury (917) are liable to also sever an arm by sheer probability given enough rounds of going off.\n* In lieu of killing a draugr or getting rid of its weapon, another strong option is taking out its legs or inflicting Rooted since draugrs rely heavily on high AS or maneuvers to be effective. Hamstring (despite Major Bleed not affecting undead), Cripple, Pin Down, and other options can do the trick.\n* In lieu of any of the above, draugrs are also square enemies in light armor, so low TD and low CvA leaves them pretty vulnerable to most CS-based attacks despite their high level.
