edges	shape_id	sample	shape
2	9fd6ce67d516bed3	25183->25145	;e res = choice = nil;res = dothistimeout S, N, R;if res =~ R;choice = $N;end;dothistimeout S, N, R;res = dothistimeout S, N, R;if res =~ R;N.times do;echo S;exit;end;end;wait_until { XMLData.room_title =~ R };sleep N;wait_until{ XMLData.room_title !~ R };if GameObj.npcs.any? { |npc| npc.name =~ R };N.times do;_respond S;end;exit;end;$go2_restart=true
1	8fc76a3bc0320103	6897->6928	;e result = Array.new put S while line = get if line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push (S) elsif line =~ R break end end result.each{ |deity| if Char.name == S put S else fput S end }
1	21ea19b7a563a93f	16165->16064	;e result = String.new; until result =~ R; fput S; result = matchwait(S,S); end; until result =~ R; fput S; result = matchwait(S,S,S); if result =~ R; fput S; result = matchwait(S,S,S);if result =~ R; N.times{fput S}; end; end; end; move S
1	7ef2633dc527add3	10781->18150	;e result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end;result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end;result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end
5	7afd7afa8c58adc0	24695->24696	;e result = nil;until result =~ R;fput S until standing?;result = dothistimeout S, N, R;if result =~ R;sleep N;waitrt?;end;end
2	2c3eb02287b5e437	24675->16744	;e result = nil;until result =~ R;fput S until standing?;result = dothistimeout S, N, R;if result =~ R;sleep N;waitrt?;end;end;UserVars.mapdb_redforest_location = nil; $go2_restart=true
1	79ceb59dd90f3a80	7393->7328	;e result = nil;while result.nil? && Room.current.id == N;result = dothistimeout S,N,R;end;wait_while{stunned?};fput S until standing?
14	6f931b0ca042b376	15948->7987	;e room = Room.current.id;fput S; if ( room == Room.current.id ); fput S;move S; end
2	490792f64df46232	15950->7989	;e room = Room.current.id;fput S; if ( room == Room.current.id ); fput S;move S; end ; $go2_restart = true
14	a19bbe57c93147f6	2485->2440	;e room = Room.current.id;fput S; if ( room == Room.current.id ); fput S;move S; end; $go2_restart = true
2	af84bfbce9d691db	11357->11355	;e save_stance = XMLData.stance_text;fput S if save_stance != S;move(S);fput S if save_stance != XMLData.stance_text;;$go2_restart = true;
1	630972802d00e02a	25172->25231	;e save_stance = XMLData.stance_text;fput S if save_stance != S;put S;move(S);fput S if save_stance != XMLData.stance_text;;$go2_restart = true;
1	34b421021b6426bb	6955->6985	;e script = Script.self hand = sword = sword_container = nil; close_containers = []; find_all_containers_var = nil; find_all_containers = proc { if find_all_containers_var.nil? restore_want_downstream = script.want_downstream restore_want_downstream_xml = script.want_downstream_xml script.want_downstream = false script.want_downstream_xml = true clear put S timeout = Time.now + N container_ids = [] while (Time.now < timeout and line = get) if (line =~ R) container_ids = line.scan(R).flatten break end end script.want_downstream = restore_want_downstream script.want_downstream_xml = restore_want_downstream_xml clear find_all_containers_var = container_ids.collect { |id| GameObj[id] } end find_all_containers_var } ds_to_bag = proc { |item_id, container_id| restore_want_downstream = script.want_downstream restore_want_downstream_xml = script.want_downstream_xml script.want_downstream = false script.want_downstream_xml = true result = dothistimeout S, N, R script.want_downstream = restore_want_downstream script.want_downstream_xml = restore_want_downstream_xml result } ds_to_hand = proc { |item_id,hand| if hand.nil?; hand = S if GameObj.left_hand.id.nil?; hand = S if GameObj.right_hand.id.nil?; end restore_want_downstream = script.want_downstream restore_want_downstream_xml = script.want_downstream_xml script.want_downstream = false script.want_downstream_xml = true result = dothistimeout S, N, R script.want_downstream = restore_want_downstream script.want_downstream_xml = restore_want_downstream_xml result } stow_sword = proc { if sword.nil? if (GameObj.right_hand.noun == S) sword = GameObj.right_hand elsif (GameObj.left_hand.noun == S) sword = GameObj.left_hand end end if sword if sword_container ds_to_bag.call(sword.id, sword_container.id) else ds_to_bag.call(sword.id, XMLData.stow_container_id) if (GameObj.right_hand.id == sword.id or GameObj.left_hand.id == sword.id) for container in find_all_containers.call next if (container.noun == S) ds_to_bag.call(sword.id, container.id) break unless (GameObj.right_hand.id == sword.id or GameObj.left_hand.id == sword.id) end end end end } empty_hands GameObj.containers.each{|k,v| if sword = v.find {|i| i.name == S};sword_container = GameObj[k];break;end}; if sword.nil? for container in find_all_containers.call if container.contents.nil? result = dothistimeout S, N, R if (container.contents.nil? and result =~ R) dothistimeout S, N, R elsif result =~ R close_containers.push(container) end end if (sword = container.contents.find { |obj| obj.name == S }) sword_container = container break end end end if sword ds_to_hand.call(sword.id, S) else if $go2_get_silvers this_room = Room.current if (Script.running.find_all { |s| s.name == S }.length > N) echo S for s in Script.running s.kill if s.name == S and s != Script.self end exit end force_start_script S, [..] wait_while { Script.running.find_all { |s| s.name == S }.length > N } fput S if hidden? or invisible? fput S force_start_script S, [..] wait_while { Script.running.find_all { |s| s.name == S }.length > N } fput S if hidden? or invisible? fput S fput S force_start_script S, [..] wait_while { Script.running.find_all { |s| s.name == S }.length > N } fput S if hidden? or invisible? fput S force_start_script S, [ this_room.id.to_s ] wait_while { Script.running.find_all { |s| s.name == S }.length > N } else echo S close_containers.each { |c| fput S } fill_hands exit end end if (resolve = Spell[..] and resolve.known? and resolve.affordable? and !resolve.active?) resolve.cast end killed_disarm = Script.kill(S) before_dying { Script.start(S) if killed_disarm } recovering_item = false loop do move S fput S fput S sleep N unless recovering_item line = dothistimeout S, N, R if line =~ R recovering_item = true sword = nil end waitrt? break if Room.current.id != N end if recovering_item line = dothistimeout S, N, R recovering_item = false if line =~ R waitrt? end fput S fput S end fput S until standing? waitrt? stow_sword.call close_containers.each { |c| fput S } fill_hands Script.start(S) if killed_disarm undo_before_dying $go2_restart = true;
1	12412c7c24e084aa	18181->18182	;e sleep(N); _respond S; waitfor S; move(S);
1	88c8a81c94cffe94	18180->18181	;e sleep(N); refill_hands=false;(refill_hands = true;empty_hands;) if GameObj.right_hand.id or GameObj.left_hand.id; if !GameObj.loot.find{|o| o.name==S}; dothistimeout S,N,R; _respond S; waitfor S; end; fput S; sleep(N); waitrt?; fill_hands if refill_hands; move(S);
1	d9333dd5fd2913d0	4141->4140	;e spell_list = [..];until dothistimeout(S, N, R) =~ R ; if spell_num = spell_list.find { |num| Spell[num].known? }; spell = Spell[spell_num]; loop {; unless spell.affordable?; echo S; wait_until { spell.affordable? }; end; break unless spell.cast(S) =~ R; }; elsif (Stats.prof == S) and (Stats.level >= N); empty_hands; fput S; sleep N; waitrt?; fill_hands; else; empty_hands; dothistimeout(S, N, R); fill_hands; end;end
1	05bd202142f63b8a	4140->4141	;e spell_list = [..];until dothistimeout(S, N, R) =~ R; if spell_num = spell_list.find { |num| Spell[num].known? }; spell = Spell[spell_num]; loop {; unless spell.affordable?; echo S; wait_until { spell.affordable? }; end; break unless spell.cast(S) =~ R; }; else; empty_hands; dothistimeout(S, N, R); fill_hands; end;end
1	bf76bd9469fac740	23338->23339	;e status_tags put S while line = get if line =~ R container = $N break elsif line =~ R container = nil break end end status_tags if container fput S fput S move S else echo S echo S exit end
1	805badd659a42fc0	3509->17805	;e status_tags; get_result = dothis S, R; status_tags; lockpick, container = R.match(get_result).captures[N..N]; fput S; fput S; fput S; move S
1	fbb07083f9e7d281	9767->9804	;e touch = [..]; fail_pattern = R; success_pattern = R; retry_pattern = R; patterns = Regexp.union(success_pattern,fail_pattern); result = nil; until success_pattern.match(result); result = dothistimeout S, N, patterns; if fail_pattern.match(result); waitforpc = $N; echo S; timeout = Time.now + N; until (!retry_pattern.match(get) or Time.now > timeout);end; else; echo S; break; end; end; touch.each {|t| fput S}; fput S; timeout = Time.now + N; wait_while { Room.current.id == N and Time.now < timeout}
8	6a96ef84fd7ea636	3582->17747	;e unless (move S); echo S; waitfor S; move S; end
1	e9050e4bab8e3e2f	2677->2675	;e unless (move S); push_result = dothistimeout S, N, R until push_result =~ R; unless push_result.nil? or push_result == S; unless mana < N; castables = [..].sort { |a,b| a.to_s[-N..-N] <=> b.to_s[-N..-N] }.reverse.collect { |n| Spell[n] }; castables.delete_if { |spell| spell.nil? or !spell.known? }; mana5spells = [..].collect { |n| Spell[n] }; mana5spells.delete_if { |spell| spell.nil? or !spell.known? }; mana_needed = N; while (mana_needed > N) and ((Spell[..].active? and (spell = mana5spells.find { |s| s.known? })) or (spell = castables.find { |s| s.mana_cost <= mana_needed }) or (spell = castables.reverse.find { |s| s.mana_cost >= mana_needed })); loop { cast_result = spell.cast(S); break unless cast_result =~ R }; mana_needed -= spell.mana_cost; sleep N; end; end; fput S if Spell[..].active? and (checkprep != S); fput S; fput S; sleep N; end; move S; end
1	001b9da2460a920e	6626->7436	;e unless checkloot.include? S fput S fput S fput S fput S fput S fput S fput S fput S end move S
1	4ba4688b7dd02e4a	7436->6626	;e unless checkloot.include? S; fput S; fput S; end; move S
2	6ad2d4f68da7fa2b	4172->4171	;e unless checkloot.include?(S); move S; fput S; move S; move S; move S; move S; move S; move S; end; move S
1	61d3003664c00f56	6487->6486	;e unless move S; dothistimeout S, N, R; move S; end
2	c5f425c25ec092ad	1965->2260	;e unless move S; echo S; waitfor S; move S; end
2	81f36a70fe23525d	7036->7154	;e unless move S; fput S; fput S; waitfor S; fput S; move S; end
1	b27b5d5d5d563c1c	31286->31345	;e until GameObj.loot.find {|o| o.noun==S};fput S;waitrt?;end;move S;
2	2d0b47b5e7031837	2642->2640	;e until checkpaths.include?(S); fput S + [..][rand(N)]; waitrt?; end
1	ab5800d13deb8c77	19727->19990	;e wait_until{GameObj.loot.find{|item| item.noun == S}};fput S
4	006e14d56d426209	30812->30813	;e wait_until{Map.current.id != N}
4	d8c1d06a9b2eec35	30947->30948	;e wait_while { Room.current.id == N }
1	673be26e0844e3bb	17665->11433	;e wait_while{Map.current.id == N};$go2_restart=true;
1	7cac508211951e44	36351->36352	;e waitfor S
4	bad52f0229027938	36434->36435	;e waitfor S move S
4	936d66ec2eb76e67	36435->36436	;e waitfor S, S move S
2	e80f0e78c9360cbb	2260->1965	;e waitfor S; move S
16	c532059f1bebe584	7486->24572	;e waitrt?; N.times { if standing?; break; else; fput S; sleep N; waitrt?; end }; move S; sleep N; waitrt?; N.times { if standing?; break; else; fput S; sleep N; waitrt?; end }; waitrt?
1	4624274ad9496a3c	22007->21967	;e waitrt?; empty_hands; N.times { move S }; fill_hands
1	ac141cad3ccff02e	22007->21964	;e waitrt?; empty_hands; move S; fill_hands
1	9d144af5e5b0d1d7	7965->7964	;e waitrt?; fput S; move S
2	914690f141aa9b31	21960->21961	;e waitrt?; fput S; waitrt?; fput S unless kneeling?; move S; fput S; waitrt?
9	35177d4a041e3cae	21961->22009	;e waitrt?; move S
1	eb1e9b634c397d11	16011->11022	;e walk until GameObj.room_desc.find { |obj| obj.noun == S }; move S
2	b9915187f1344ca6	16011->16256	;e walk until checkloot.include?(S); move S
1	b65f6518711807d8	8373->8374	;e wedge_list = { S => S, S => S, S => S, S => S } wedge_list.each_pair { |direction,position| loop { wedge_look = dothis S, R break if wedge_look =~ R fput S } fput S }
1	230502abaff6457c	24730->24729	;e while Room.current.id == N do;fput S until standing?;success = R;fail = R;result = dothistimeout S, N, Regexp.union(success, fail);if result =~ fail;sleep N;waitrt?;end;end
1	31152709c72a6811	30115->29861	;e while Room.current.id == N; fput S; waitrt; end;
2	04599aff4e93d973	13429->13404	;e while Room.current.id == N; fput S; waitrt?; end
3	e83d1f0e73aa3d81	18843->18823	;e while Room.current.id == N;fput S;waitrt?;end
1	85ca0ca6cc392ef4	11357->11358	;e while XMLData.room_title == S; fput S; move S; waitrt?; end; fill_hands
4	c621405acedf5a57	16124->11653	;e while checkpaths == [..]; move [..][rand(N)]; end;
4	6796686bde74a3b5	16124->11620	;e while checkpaths == [..]; move [..][rand(N)]; end; move S while checkpaths.include?(S)
1	de4318b2a460ceb9	3837->3831	;e while checkpaths.include?(S); fput S; move S; end
1	7138044ada0b838a	8544->8546	;e while checkpaths.include?(S); fput S; sleep N; waitrt?; move S; end
2	661994b421780913	785->784	;e while checkpaths.include?(S); move S; move S; end
2	549ac2a269ff9687	11749->10838	;e while line = get;if line=~ R;fput S;break;end;end
1	556c1f45bc381506	24158->24159	;e x=XMLData.room_count+N;fput S until XMLData.room_count == x
7	3c3918829bc12ac3	24151->24152	;e x=XMLData.room_count;fput S until XMLData.room_count > x
