kind	where	area	from_id	from_room	from_floor	from_floor_set_by	command	exit_says	direction_from	to_id	to_room	to_floor	to_floor_set_by
says up/down, but the floors came out the other way round	both indoors	Icemule Trace	27703	[South Barbican, East Tower]	2	stack	up	up	map's literal up/down	27704	[South Barbican, East Tower]	1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Icemule Trace	27709	[South Barbican, West Tower]	-1	stack	go out	level	plain exit	2412	[Icemule Trace, South Road]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Icemule Trace	2320	[Temple Burrow, Koar Street]	0	outdoor ground	go staircase	up	Jev or subagent	2332	[Temple Burrow, Koar and Lumnis]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Icemule Trace	2331	[Temple Burrow, Koar Street]	0	outdoor ground	go ramp	up	Jev or subagent	2332	[Temple Burrow, Koar and Lumnis]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Icemule Trace	2332	[Temple Burrow, Koar and Lumnis]	0	outdoor ground	go steps	down	Jev or subagent	2356	[Temple Burrow, Lumnis Street]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Kharam-Dzu	30558	[Training Area]	1	default	go annex	level	plain exit	30560	[Empath Guild, Training Foyer]	0	default
says up/down, but both rooms came out on the same floor	both indoors	Koar's Shrine	2657	[Drake's Eye, Ice Shrine]	-2	default	down	down	map's literal up/down	2649	[The Dragon Sleeps]	-2	default
plain exit, but the two rooms came out on different floors	indoor/outdoor	Kraken's Fall	33711	[Emberthorn Refuge, Bowery]	0	doorway	go passageway	level	plain exit	33714	[Emberthorn Refuge, Garden]	1	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	Kraken's Fall	28890	[Kraken's Fall, Mantle's Landing]	0	outdoor ground	go stairs	down	Jev or subagent	28891	[Kraken's Fall, Beach]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	Kraken's Fall	28917	[Kraken's Fall, North Arm Lane]	0	outdoor ground	go ramp	up	Jev or subagent	28918	[Kraken's Fall, Logging Colony]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Kraken's Fall	33409	[Nereid's Cradle, Landing]	0	outdoor ground	go stone steps	down	Jev or subagent	33423	[Nereid's Cradle, Beach]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Kraken's Fall	33415	[Nereid's Cradle, Sharing Garden]	0	outdoor ground	go steps	down	Jev or subagent	33425	[Nereid's Cradle, Beach]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Kraken's Fall	33420	[Nereid's Cradle, West Bonfire]	0	outdoor ground	go staircase	down	Jev or subagent	33421	[Nereid's Cradle, Beach]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Liath Bheinn and Aillidh Brae	8064	[Liath Bheinn, Ridge]	-1	outdoor climb	climb incline	up	Jev or subagent	8066	[Liath Bheinn, Ledge]	-1	outdoor climb
plain exit, but the two rooms came out on different floors	indoor/outdoor	Maelstrom Bay	16182	[Beacon Hall, Entry Hall]	1	doorway	go door	level	plain exit	11010	[Courtyard]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Melgorehn's Reach	18182	[Melgorehn's Reach, Lift Apex]	0	doorway	go fog	level	plain exit	18183	[Melgorehn's Reach, Lost in the Fog]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Mist Harbor	21174	[Beneath Gardenia Commons]	-1	stack	go scaffold	level	plain exit	3668	[Gardenia Commons]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Mist Harbor	23846	[Circle of Trees, Ground Level]	0	outdoor ground	go rope	up	Jev or subagent	23847	[Circle of Trees, Platform Level]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Mist Harbor	23861	[Circle of Trees, Platform Level]	0	outdoor ground	go ladder	down	Jev or subagent	23862	[Circle of Trees, Ground Level]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Mist Harbor	21111	[Monastery, Ruined Hall]	0	doorway	south	level	plain exit	21112	[Monastery, Library]	1	stack
says up/down, but plain moves join the two rooms on one level	both indoors	Mist Harbor	20987	[Outpost, Courtyard]	0	doorway	go staircase	up	Jev or subagent	20990	[Outpost, Landing]	0	doorway
says up/down, but both rooms came out on the same floor	both indoors	Mist Harbor	25816	[The Wave, Captain's Quarters]	0	doorway	go stairway	down	Jev or subagent	25817	[The Wave, Common Room]	0	doorway
says up/down, but both rooms came out on the same floor	both indoors	Mist Harbor	21181	[Western Harbor, Sewers]	-1	stack	down	down	map's literal up/down	21182	[Sewers, Beneath the Slaughter]	-1	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	Old Ta'Faendryl	12018	[Old Ta'Faendryl, Amphitheater]	0	outdoor ground	climb benches	up	Jev or subagent	12023	[Old Ta'Faendryl, Amphitheatre]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Old Ta'Faendryl	12019	[Old Ta'Faendryl, Amphitheater]	0	outdoor ground	climb blocks	up	Jev or subagent	12025	[Old Ta'Faendryl, Amphitheatre]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Old Ta'Faendryl	11837	[Old Ta'Faendryl, South]	0	outdoor ground	go steps	up	Jev or subagent	11838	[Old Ta'Faendryl, Asylum Square]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	River's Rest	10888	[Fleet Captain's Yard]	0	outdoor ground	crawl hutch	level	plain exit	17680	[River's Rest, Rabbit Hutch]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	River's Rest	18000	[Rogue Guild, Portico]	0	outdoor ground	west	level	plain exit	18001	[Rogue Guild, Hallway]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	River's Rest	17687	[Smuggler's Tunnel, Opening]	-1	stack	go opening	level	plain exit	17688	[River's Rest, Underbridge]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both indoors	River's Rest	17682	[Smuggler's Tunnels, Wide Tunnel]	-1	stack	go ladder	up	Jev or subagent	23208	[Timor's, House Annex Hallway]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	River's Rest	16174	[The Warren, Brambles]	0	outdoor ground	go crevice	level	plain exit	17648	[Smuggler's Cove, Landing]	-1	stack
says up/down, but both rooms came out on the same floor	both indoors	Solhaven	19212	[Methais's Home, Living Room]	0	doorway	go staircase	up	Jev or subagent	33356	[Methais's Home, Hallway]	0	doorway
says up/down, but plain moves join the two rooms on one level	both indoors	Solhaven	27821	[Top of the Stair]	0	doorway	go stairway	down	Jev or subagent	27822	[Base of the Stair]	0	doorway
says up/down, but plain moves join the two rooms on one level	both indoors	Solhaven	14541	[Tropics Trail, Exit]	0	doorway	climb stairs	down	Jev or subagent	14486	[Aviaries, Entrance]	0	doorway
says up/down, but the floors came out the other way round	indoor/outdoor	Solhaven's Warrior Guild	17009	[Warrior Guild, SE Corner]	1	doorway	up	up	map's literal up/down	17010	[Warrior Guild Roof, SE Corner]	0	outdoor ground
says up/down, but the floors came out the other way round	indoor/outdoor	Solhaven's Warrior Guild	17004	[Warrior Guild, SW Corner]	1	doorway	up	up	map's literal up/down	17005	[Warrior Guild Roof, SW Corner]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Sorcerer's Isle	18831	[Sorcerer's Isle, Forest]	0	outdoor ground	climb ravine	down	Jev or subagent	18832	[Sorcerer's Isle, Swale]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Stormpeak	34283	[Stormpeak Base, Shimmer Cove]	-1	stack	go opening	level	plain exit	34284	[Stormpeak Base, Shimmer Lake]	0	outdoor ground
says up/down, but both rooms came out on the same floor	indoor/outdoor	Stormpeak	34332	[Thunder Plateau, Krag Tunnel]	0	doorway	climb rise	up	Jev or subagent	34333	[Thunder Plateau, Vista]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both indoors	Ta'Illistim	31368	[Illithien Aerie, Petrel Parlor]	0	doorway	go staircase	up	Jev or subagent	31371	[Illithien Aerie, Conservatory]	0	doorway
says up/down, but both rooms came out on the same floor	both indoors	Ta'Illistim	31366	[Illithien Aerie, Snowcap Atrium]	0	doorway	up	up	map's literal up/down	31368	[Illithien Aerie, Petrel Parlor]	0	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	Ta'Illistim	9755	[Maaghara Tower, Incline]	1	default	northeast	level	plain exit	9756	[Maaghara Tower, Spiral Stair]	-4	default
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24383	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24385	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24386	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24387	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24389	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	Ta'Illistim	24392	[Ranger Guild, The Circle]	0	outdoor ground	go tree	up	Jev or subagent	24384	[Massive Oak, Cozy Crooks]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Ta'Vaalor	20714	[Etesian Villa, Bistro]	0	doorway	go doors	level	plain exit	20717	[Etesian Villa, Garden]	1	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	Talador	22310	[DragonSpines, Ice Tunnel]	1	doorway	north	level	plain exit	22311	[DragonSpines, Arctic Trail]	-2	outdoor climb
plain exit, but the two rooms came out on different floors	indoor/outdoor	Talador	22254	[Hall of Mages, Gateway Chamber]	1	stack	go grey portal	level	plain exit	22255	[Mestanir Gate]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Talador	22254	[Hall of Mages, Gateway Chamber]	1	stack	go white portal	level	plain exit	22256	[Northern DragonSpines, Icy Path]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Talador	22254	[Hall of Mages, Gateway Chamber]	1	stack	go azure portal	level	plain exit	22257	[Idolone, Outskirts]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Talador	22254	[Hall of Mages, Gateway Chamber]	1	stack	go scarlet portal	level	plain exit	22258	[Barret's Gorge, Fourth District]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	The Black Rose, inside the elven fortress of Ta'Vaalor	36161	[Black Rose, Captain's Quarters]	0	outdoor ground	go grate	level	plain exit	36164	[The Black Rose, Engineering]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Thurfel's Island	9141	[Thurfel's Island]	-12	doorway	east	level	plain exit	9143	[Thurfel's Island]	-1	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	Thurfel's Island	9143	[Thurfel's Island]	-1	doorway	east	level	plain exit	9144	[Thurfel's Island]	-12	doorway
says up/down, but plain moves join the two rooms on one level	both outdoors	Timmorain Road	5831	[Timmorain Road]	0	outdoor ground	climb gully	down	Jev or subagent	10659	[Neartofar Forest]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	Vornavis Proper	33283	[Vornavis, Gate of the Tradesmen]	0	outdoor ground	go stairs	down	Jev or subagent	33302	[Vornavis, Dondraek Lane]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	3883	[City Stables, Stalls]	-1	stack	out	level	plain exit	278	[Wehnimer's, The Mews]	0	main deck
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	28256	[City Stables, Stalls]	0	main deck	go hay	level	plain exit	7541	[Catacombs, Effluent]	-1	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	Wehnimer's Landing	15984	[Coastal Cliffs, Ledges]	0	main deck	climb trail	down	Jev or subagent	15990	[Coastal Cliffs, Rocky Slope]	0	main deck
says up/down, but both rooms came out on the same floor	both indoors	Wehnimer's Landing	33449	[Den of the Dragon, Green Room]	0	doorway	up	up	map's literal up/down	33450	[Den of the Dragon, Backstage]	0	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	15556	[Frith's Inn, Rooftop]	3	stack	go window	level	plain exit	15557	[Beldrin's Game Hall, Storeroom]	2	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	Wehnimer's Landing	6473	[Gryphon Holding]	-1	outdoor climb	climb slope	up	Jev or subagent	6474	[Gryphon Holding]	-1	outdoor climb
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	24957	[House Aspis, Garden]	0	main deck	go door	level	plain exit	31209	[House Aspis, Roundhouse]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	33439	[House Aspis, Hidden Nook]	0	doorway	go opening	level	plain exit	33440	[House Aspis, Under the Floor]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	20804	[House Sovyn, Rooftop Garden]	1	default	go sun room	level	plain exit	20810	[House Sovyn, Sun Room]	0	default
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	21331	[House Sylvanfair, Treetop]	1	stack	go sturdy vine	level	plain exit	21344	[House Sylvanfair, Pool]	0	doorway
says up/down, but the floors came out the other way round	both indoors	Wehnimer's Landing	387	[Moot Hall, Great Lobby]	0	stack	go staircase	up	Jev or subagent	395	[Moot Hall, Landing]	-1	stack
says up/down, but the floors came out the other way round	indoor/outdoor	Wehnimer's Landing	24678	[Oak Tree, Dark Hole]	2	outdoor climb	go hole	up	Jev or subagent	24679	[Oak Tree, Dark Hole]	-6	stack
says up/down, but both rooms came out on the same floor	both indoors	Wehnimer's Landing	22081	[Paupers, Wide Hall]	0	doorway	go staircase	up	Jev or subagent	22082	[Paupers, Upstairs Hall]	0	doorway
says up/down, but the floors came out the other way round	both indoors	Wehnimer's Landing	8671	[Raging Thrak Inn, Front Desk]	0	doorway	go stairs	up	Jev or subagent	8672	[Raging Thrak Inn, Hallway]	-1	stack
says up/down, but both rooms came out on the same floor	both indoors	Wehnimer's Landing	16443	[Rogue Guild, Basement]	-1	stack	go trapdoor	down	Jev or subagent	16447	[Underground Tunnel]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Wehnimer's Landing	14627	[Wayside Inn, Garret]	1	stack	go grate under ashes	level	plain exit	223	[Wehnimer's, Land's End Rd.]	0	main deck
plain exit, but the two rooms came out on different floors	indoor/outdoor	Whistler's Pass	782	[Whistler's Pass, Tunnel]	0	doorway	northwest	level	plain exit	783	[Whistler's Pass, Tunnel]	-1	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	Willow Hall	17424	[Willow Hall, Great Room]	-1	doorway	go fieldstone arch	level	plain exit	19290	[Willow Hall, Garden]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both indoors	Zul Logoth	23365	[Li'aerion, Kitchens]	0	doorway	go small door	down	Jev or subagent	23366	[Basement, Cells]	0	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Abbey	2948	[Abbey Kitchen Garden]	0	outdoor ground	go door	level	plain exit	2972	[Abbey Cellar]	1	stack
says up/down, but the floors came out the other way round	both indoors	the Citadel	11375	[Citadel, Hallway]	0	doorway	climb staircase	up	Jev or subagent	11376	[Citadel, Hallway]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Citadel	11063	[River Tunnels, Bramble Cave]	-2	stack	go brambles	level	plain exit	10882	[River's Rest, East River Beach]	0	outdoor ground
says up/down, but the floors came out the other way round	both indoors	the Czeroth Caverns	29473	[Czeroth Labyrinth, Tunnel]	1	default	up	up	map's literal up/down	29474	[Czeroth Labyrinth, Crossways]	0	default
says up/down, but the floors came out the other way round	both indoors	the Czeroth Caverns	29475	[Czeroth Labyrinth, Tunnel]	1	default	up	up	map's literal up/down	29476	[Czeroth Labyrinth, Tunnel]	0	default
says up/down, but the floors came out the other way round	both indoors	the Czeroth Caverns	29478	[Czeroth Labyrinth, Tunnel]	1	default	up	up	map's literal up/down	29479	[Czeroth Labyrinth, Tunnel]	0	default
says up/down, but the floors came out the other way round	both indoors	the Czeroth Caverns	29481	[Czeroth Labyrinth, Tunnel]	1	default	up	up	map's literal up/down	29482	[Czeroth Labyrinth, Tunnel]	0	default
says up/down, but the floors came out the other way round	both indoors	the Czeroth Caverns	29484	[Czeroth Labyrinth, Tunnel]	1	default	up	up	map's literal up/down	29485	[Czeroth Labyrinth, Tunnel]	0	default
says up/down, but both rooms came out on the same floor	both outdoors	the Emerald Forest	9856	[Gorget Trails, East Cliff Face]	0	outdoor ground	climb ridge	up	Jev or subagent	9865	[Gorget Trails, East Cliff Face]	0	outdoor ground
says up/down, but the floors came out the other way round	both outdoors	the Emerald Forest	9863	[Gorget Trails, East Cliff Face]	1	outdoor climb	climb outcropping	up	Jev or subagent	9864	[Gorget Trails, East Cliff Face]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	the Emerald Forest	102	[Gorget Trails, West Cliff Face]	0	outdoor ground	climb protrusion	down	Jev or subagent	103	[Gorget Trails, West Cliff Face]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	the Flotilla	36794	[Derelict Queen, Ramp]	0	main deck	up	up	map's literal up/down	36795	[Derelict Queen, Main Deck]	0	main deck
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Graveyard	4142	[Graveyard, Crypt]	-1	stack	out	level	plain exit	4141	[Graveyard]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both indoors	the Graveyard	7301	[Graveyard, Under Crypt]	-2	stack	down	down	map's literal up/down	7303	[Graveyard, Under Crypt]	-2	stack
says up/down, but the floors came out the other way round	both indoors	the High Plains	3025	[Snow Fort, Ice Altar]	-2	stack	go hole	down	Jev or subagent	3026	[Arctic Tundra, Under Altar]	0	doorway
says up/down, but both rooms came out on the same floor	both outdoors	the Lower Dragonsclaw	3608	[Wehnimer's, Exterior]	0	main deck	climb bank	up	Jev or subagent	4196	[Mine Road]	0	outdoor ground
says up/down, but both rooms came out on the same floor	indoor/outdoor	the Miasmal Forest	16147	[Oteska's Haven, Shanty]	0	doorway	up	up	map's literal up/down	11668	[Oteska's Haven, Shanty Rooftop]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	the Monsoon Jungle	20907	[Monsoon Jungle, Banyan]	1	outdoor climb	climb lattice-work	up	Jev or subagent	20909	[Monsoon Jungle, Banyan]	1	outdoor climb
says up/down, but both rooms came out on the same floor	both outdoors	the Needle of Pentas	30959	[Isle of Ornath, Agora Entry]	0	outdoor ground	go steps	down	Jev or subagent	30960	[Isle of Ornath, Agora Promenade]	0	outdoor ground
says up/down, but the floors came out the other way round	both indoors	the Rift	12241	[The Rift, Scatter]	-1	default	down	down	map's literal up/down	12242	[The Rift, Scatter]	0	default
says up/down, but the floors came out the other way round	both indoors	the Rift	12245	[The Rift, Scatter]	-1	default	down	down	map's literal up/down	12246	[The Rift, Scatter]	1	default
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Ruined Temple	12704	[Ruined Temple, Second Floor]	-1	doorway	southwest	level	plain exit	12705	[Ruined Temple, Second Floor]	0	stack
says up/down, but both rooms came out on the same floor	both indoors	the Sea Caves	11117	[Krol Ship, Anchor Chain]	0	stack	go hole	up	Jev or subagent	11118	[Krol Ship, Forecastle]	0	doorway
says up/down, but both rooms came out on the same floor	indoor/outdoor	the Sea Caves	11090	[Krol Ship, Main Deck Amidships]	0	main deck	go grate	down	Jev or subagent	11105	[Krol Ship, Hold, Casks]	0	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Settlement of Reim	25082	[Reim Settlement, Barracks]	0	doorway	southeast	level	plain exit	24965	[Pitfall Trap]	1	doorway
says up/down, but the floors came out the other way round	both indoors	the Shattered Moors	11605	[Smuggler's Tunnel]	-1	stack	down	down	map's literal up/down	11606	[Smuggler's Tunnel]	1	stack
says up/down, but both rooms came out on the same floor	both indoors	the Sleeping Lady Mountains	2855	[Northern Mountains, Dark Caves]	-3	stack	up	up	map's literal up/down	2862	[Northern Mountains, Dark Caves]	-3	stack
says up/down, but the floors came out the other way round	both indoors	the Sleeping Lady Mountains	2857	[Northern Mountains, Dark Caves]	-3	stack	up	up	map's literal up/down	2868	[Northern Mountains, Dark Caves]	-5	stack
says up/down, but both rooms came out on the same floor	both indoors	the Sleeping Lady Mountains	2859	[Northern Mountains, Dark Caves]	-4	stack	up	up	map's literal up/down	2860	[Northern Mountains, Dark Caves]	-4	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the South River Road	11012	[Shady Trail]	0	outdoor ground	go arch	level	plain exit	17690	[Smuggler's Tunnel, Opening]	-1	stack
says up/down, but the floors came out the other way round	both indoors	the Troll Burial Grounds	9520	[Troll Burial Grounds]	3	stack	up	up	map's literal up/down	9523	[Troll Burial Grounds]	2	stack
says up/down, but the floors came out the other way round	both indoors	the Troll Burial Grounds	9525	[Troll Burial Grounds]	2	stack	down	down	map's literal up/down	9526	[Troll Burial Grounds]	3	stack
says up/down, but the floors came out the other way round	both indoors	the Troll Burial Grounds	9545	[Troll Burial Grounds]	1	stack	down	down	map's literal up/down	9547	[Troll Burial Grounds]	2	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Upper Dragonsclaw	6693	[Fire Pit]	0	main deck	go opening	level	plain exit	6694	[Cave Entrance]	1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Upper Dragonsclaw	6718	[Upper Dragonsclaw, Clearing]	0	main deck	go entrance	level	plain exit	6719	[Upper Dragonsclaw, Dark Tower]	1	stack
says up/down, but both rooms came out on the same floor	both indoors	the Upper Trollfang	36373	[Black Swan Castle, Tower]	1	stack	go stair	up	Jev or subagent	36374	[Black Swan Castle, Tower]	1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Upper Trollfang	36374	[Black Swan Castle, Tower]	1	stack	go east door	level	plain exit	36384	[Black Swan Castle, Ramparts]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both indoors	the Upper Trollfang	7811	[Cave, Ledge]	0	doorway	climb stones	down	Jev or subagent	7812	[Cave, Vaulted Chamber]	0	doorway
says up/down, but both rooms came out on the same floor	both outdoors	the Upper Trollfang	7157	[Upper Trollfang]	0	main deck	go hole	down	Jev or subagent	36342	[Meadow, Wildflower Patch]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	the Vipershroud	9628	[Vipershroud, Logged Trail]	1	outdoor climb	up	up	map's literal up/down	9626	[Vipershroud, Hillock]	1	outdoor climb
says up/down, but plain moves join the two rooms on one level	both outdoors	the Vipershroud	9627	[Vipershroud, Shrine]	1	outdoor climb	up	up	map's literal up/down	9626	[Vipershroud, Hillock]	1	outdoor climb
says up/down, but both rooms came out on the same floor	indoor/outdoor	the Vornavian Coast	5239	[Vornavian Coast, Beached Hulk]	0	doorway	climb ladder	up	Jev or subagent	5241	[Vornavian Coast, Beached Hulk]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	the Vornavian Coast	5138	[Vornavian Coast, Caverns]	0	doorway	northeast	level	plain exit	5139	[Vornavian Coast, Caverns]	-1	stack
says up/down, but both rooms came out on the same floor	both outdoors	the Vornavian Coast	5298	[Vornavian Coast, Foggy Valley]	0	outdoor ground	climb hill	up	Jev or subagent	5323	[Vornavian Coast, The Lake]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	the Western Harbor	17590	[Western Harbor, Docks]	0	outdoor ground	climb steps	down	Jev or subagent	17591	[Western Harbor, Pier One]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both indoors	the catacombs	5909	[Catacombs, Entrance]	-1	stack	go hatch	down	Jev or subagent	5910	[Catacombs, Eatery]	-1	stack
says up/down, but the floors came out the other way round	both indoors	the catacombs	7535	[Catacombs, Twisting Tunnels]	-1	stack	down	down	map's literal up/down	7537	[Catacombs, Twisting Tunnels]	0	stack
says up/down, but both rooms came out on the same floor	both outdoors	the environs of the Saewehna Lagoon	18314	[Saewehna Jungle, Coast]	0	outdoor ground	climb steps	down	Jev or subagent	18315	[Mooring Dock, Shoreline]	0	outdoor ground
says up/down, but both rooms came out on the same floor	indoor/outdoor	the free port of Solhaven	13430	[Solhaven, Celebration Barge]	0	outdoor ground	go steps	up	Jev or subagent	13433	[Celebration Hall, Grand Foyer]	0	doorway
plain exit, but the two rooms came out on different floors	indoor/outdoor	the free port of Solhaven	1466	[Solhaven, Nerite and Eastbridge]	0	outdoor ground	go shop	level	plain exit	12818	[Galnuir's Archery]	-1	stack
